member,feature_index,feature_name,modality
5,0,ST115CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,2,ST31TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,5,ST39TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,8,ST127SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,11,ST94SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,16,ST62CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,18,ST50SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,19,ST45SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,21,ST97CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,22,ST47TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,23,ST113TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,24,ST82CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,26,ST111CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,28,ST90CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,31,ST48CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,32,ST59SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,33,ST118SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,35,ST93CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,39,ST62SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,42,ST62TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,44,ST85SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,45,ST32SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,48,ST58TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,49,ST43TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,50,ST54TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,51,ST104CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,53,ST73SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,55,ST103TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,56,ST44TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,58,ST108TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,59,ST37SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,60,ST88SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,63,ST61SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,65,ST72CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,66,ST10CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,68,ST38CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,71,ST84SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,73,ST29SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,74,ST82SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,76,ST54CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,77,ST74CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,78,ST82TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,81,ST99TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,85,ST110SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,86,ST48TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,88,ST93SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
5,91,ST113SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
