member,feature_index,feature_name,modality
2,0,ST115CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,1,ST121CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,2,ST31TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,3,ST39SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,6,ST32TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,7,ST74SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,9,ST31CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,10,ST58CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,12,ST110TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,13,ST117SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,15,ST52CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,17,ST45CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,18,ST50SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,20,ST73CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,24,ST82CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,27,ST90TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,28,ST90CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,29,ST117TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,30,ST26SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,31,ST48CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,33,ST118SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,34,ST48SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,36,ST13TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,37,ST93TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,38,ST110CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,40,ST34SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,41,ST104SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,42,ST62TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,43,ST108SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,45,ST32SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,46,ST39CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,48,ST58TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,52,ST97TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,54,ST108CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,55,ST103TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,57,ST99CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,61,ST50CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,62,ST57SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,64,ST84TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,67,ST56CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,69,ST107TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,70,ST84CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,72,ST47SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,75,ST23SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,79,ST98SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,82,ST34TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,83,ST85CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,84,ST116CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,87,ST115SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,89,ST57TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,90,ST55CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,92,ST34CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,93,ST57CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,94,ST23CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,95,ST121TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,96,ST40SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,97,ST118TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,98,ST38SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,101,ST32TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,102,ST107CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,103,ST15CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,107,ST55SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,110,ST95SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,111,ST31SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,112,ST52SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,113,ST46TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,114,ST30SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,115,ST46SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,116,ST94CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,117,ST49TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,119,ST102SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,126,ST35CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,128,ST121SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,130,ST111TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,131,ST56SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,134,ST104TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,135,ST14CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,136,ST128SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI
2,138,CTX_RH_LATERALORBITOFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET
2,139,RIGHT_CEREBELLUM_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET
2,140,RIGHT_CEREBRAL_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET
2,145,CTX_LH_UNKNOWN_SIZE_UCBERKELEYAV45_10_17_16,PET
2,147,CTX_LH_ROSTRALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET
2,149,CC_CENTRAL_SIZE_UCBERKELEYAV45_10_17_16,PET
2,151,CTX_RH_INFERIORTEMPORAL_SIZE_UCBERKELEYAV45_10_17_16,PET
2,152,RIGHT_HIPPOCAMPUS_UCBERKELEYAV45_10_17_16,PET
2,155,CTX_LH_LINGUAL_UCBERKELEYAV45_10_17_16,PET
2,158,CTX_RH_ENTORHINAL_UCBERKELEYAV45_10_17_16,PET
2,159,LEFT_CHOROID_PLEXUS_SIZE_UCBERKELEYAV45_10_17_16,PET
2,160,LEFT_AMYGDALA_UCBERKELEYAV45_10_17_16,PET
2,161,CTX_RH_SUPERIORFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET
2,162,CTX_LH_INFERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET
2,164,LEFT_LATERAL_VENTRICLE_SIZE_UCBERKELEYAV45_10_17_16,PET
2,165,CTX_LH_ROSTRALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET
2,166,CTX_LH_PRECUNEUS_UCBERKELEYAV45_10_17_16,PET
2,167,CTX_RH_POSTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET
2,168,LEFT_HIPPOCAMPUS_SIZE_UCBERKELEYAV45_10_17_16,PET
2,169,CTX_LH_PARSOPERCULARIS_UCBERKELEYAV45_10_17_16,PET
2,171,CTX_RH_CAUDALANTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET
2,173,CTX_RH_CAUDALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET
2,175,CTX_RH_ISTHMUSCINGULATE_UCBERKELEYAV45_10_17_16,PET
2,176,CTX_LH_LATERALOCCIPITAL_UCBERKELEYAV45_10_17_16,PET
2,177,CTX_LH_CAUDALANTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET
2,178,RIGHT_INF_LAT_VENT_SIZE_UCBERKELEYAV45_10_17_16,PET
2,181,RIGHT_VESSEL_UCBERKELEYAV45_10_17_16,PET
2,183,CTX_RH_INFERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET
2,185,NON_WM_HYPOINTENSITIES_SIZE_UCBERKELEYAV45_10_17_16,PET
2,186,RIGHT_CEREBELLUM_CORTEX_SIZE_UCBERKELEYAV45_10_17_16,PET
2,187,LEFT_ACCUMBENS_AREA_UCBERKELEYAV45_10_17_16,PET
2,188,CTX_RH_PARACENTRAL_UCBERKELEYAV45_10_17_16,PET
2,189,CTX_LH_POSTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET
2,190,LEFT_INF_LAT_VENT_UCBERKELEYAV45_10_17_16,PET
2,193,CC_MID_ANTERIOR_UCBERKELEYAV45_10_17_16,PET
2,194,CTX_LH_ISTHMUSCINGULATE_UCBERKELEYAV45_10_17_16,PET
2,195,CTX_RH_POSTCENTRAL_UCBERKELEYAV45_10_17_16,PET
2,198,WHOLECEREBELLUM_UCBERKELEYAV45_10_17_16,PET
2,199,CTX_LH_PERICALCARINE_UCBERKELEYAV45_10_17_16,PET
2,201,NON_WM_HYPOINTENSITIES_UCBERKELEYAV45_10_17_16,PET
2,204,CTX_RH_SUPERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET
2,205,CTX_LH_CUNEUS_UCBERKELEYAV45_10_17_16,PET
2,208,LEFT_PUTAMEN_UCBERKELEYAV45_10_17_16,PET
2,209,LEFT_CEREBELLUM_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET
2,210,CTX_LH_SUPERIORFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET
2,213,LEFT_PALLIDUM_SIZE_UCBERKELEYAV45_10_17_16,PET
2,216,LEFT_CEREBRAL_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET
2,217,CTX_LH_ENTORHINAL_SIZE_UCBERKELEYAV45_10_17_16,PET
2,218,CTX_RH_LINGUAL_UCBERKELEYAV45_10_17_16,PET
2,219,CTX_RH_TRANSVERSETEMPORAL_UCBERKELEYAV45_10_17_16,PET
2,226,CTX_RH_INSULA_UCBERKELEYAV45_10_17_16,PET
2,227,LEFT_VENTRALDC_SIZE_UCBERKELEYAV45_10_17_16,PET
2,228,CTX_RH_INFERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET
2,229,CTX_RH_SUPERIORFRONTAL_UCBERKELEYAV45_10_17_16,PET
2,230,CTX_LH_LINGUAL_SIZE_UCBERKELEYAV45_10_17_16,PET
2,232,RIGHT_VENTRALDC_UCBERKELEYAV45_10_17_16,PET
2,233,LEFT_CEREBELLUM_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET
2,235,CTX_RH_ROSTRALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET
2,237,CTX_LH_POSTCENTRAL_UCBERKELEYAV45_10_17_16,PET
2,238,VENTRICLE_4TH_UCBERKELEYAV45_10_17_16,PET
2,240,CTX_RH_POSTCENTRAL_SIZE_UCBERKELEYAV45_10_17_16,PET
2,245,CTX_RH_INFERIORPARIETAL_SIZE_UCBERKELEYAV45_10_17_16,PET
2,246,CTX_LH_SUPERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET
2,247,CTX_LH_SUPERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET
2,250,CTX_RH_FUSIFORM_UCBERKELEYAV45_10_17_16,PET
2,251,CTX_LH_SUPRAMARGINAL_UCBERKELEYAV45_10_17_16,PET
2,253,CTX_RH_MEDIALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET
2,254,RIGHT_LATERAL_VENTRICLE_SIZE_UCBERKELEYAV45_10_17_16,PET
2,257,CTX_LH_INFERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET
2,261,CTX_LH_ROSTRALANTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET
2,262,LEFT_AMYGDALA_SIZE_UCBERKELEYAV45_10_17_16,PET
2,263,CTX_RH_SUPERIORTEMPORAL_SIZE_UCBERKELEYAV45_10_17_16,PET
2,264,RIGHT_HIPPOCAMPUS_SIZE_UCBERKELEYAV45_10_17_16,PET
2,265,CTX_LH_PARSTRIANGULARIS_UCBERKELEYAV45_10_17_16,PET
2,267,LEFT_CHOROID_PLEXUS_UCBERKELEYAV45_10_17_16,PET
2,268,CTX_RH_TEMPORALPOLE_UCBERKELEYAV45_10_17_16,PET
2,269,CTX_RH_LINGUAL_SIZE_UCBERKELEYAV45_10_17_16,PET
2,272,CTX_RH_PRECENTRAL_UCBERKELEYAV45_10_17_16,PET
2,274,LEFT_CEREBELLUM_CORTEX_SIZE_UCBERKELEYAV45_10_17_16,PET
2,278,CC_MID_POSTERIOR_UCBERKELEYAV45_10_17_16,PET
2,279,RIGHT_CHOROID_PLEXUS_UCBERKELEYAV45_10_17_16,PET
2,281,CTX_LH_MIDDLETEMPORAL_UCBERKELEYAV45_10_17_16,PET
2,283,OPTIC_CHIASM_UCBERKELEYAV45_10_17_16,PET
2,285,CTX_LH_PARSOPERCULARIS_SIZE_UCBERKELEYAV45_10_17_16,PET
2,287,RIGHT_LATERAL_VENTRICLE_UCBERKELEYAV45_10_17_16,PET
2,288,TAU_UPENNBIOMK9_04_19_17,CSF
2,291,"AGE_[56.4, 58.4)",Risk
2,292,"AGE_[80.4, 82.4)",Risk
2,295,APOE4_2.0,Risk
2,297,"AGE_[88.4, 90.4)",Risk
2,301,"AGE_[58.4, 60.4)",Risk
2,302,"PTEDUCAT_[14, 16)",Risk
2,303,"AGE_[54.4, 56.4)",Risk
2,304,"PTEDUCAT_[8, 10)",Risk
2,307,PTMARRY_Divorced,Risk
2,309,"AGE_[78.4, 80.4)",Risk
2,310,"AGE_[74.4, 76.4)",Risk
2,314,"PTEDUCAT_[18, 20)",Risk
2,317,PTMARRY_Married,Risk
2,319,"AGE_[70.4, 72.4)",Risk
2,320,"AGE_[64.4, 66.4)",Risk
2,324,PTMARRY_Widowed,Risk
2,328,RAVLT_learning,Cognitive
2,329,EcogSPLang,Cognitive
2,330,ADAS13,Cognitive
2,331,EcogPtOrgan,Cognitive
2,332,RAVLT_perc_forgetting,Cognitive
2,333,FAQ,Cognitive
2,334,MOCA,Cognitive
2,339,EcogSPDivatt,Cognitive
2,340,EcogPtPlan,Cognitive
2,345,EcogSPMem,Cognitive
2,346,EcogPtVisspat,Cognitive
2,347,EcogPtDivatt,Cognitive
2,348,EcogPtTotal,Cognitive
2,349,EcogSPTotal,Cognitive
2,350,ADAS11,Cognitive
2,353,ICV,ROI
2,356,FDG,ROI
2,357,Ventricles,ROI
2,358,WholeBrain,ROI
2,359,Entorhinal,ROI
