feature_index,feature_name,modality,fold_00_coverage_count,fold_01_coverage_count,fold_02_coverage_count,fold_03_coverage_count,fold_04_coverage_count,fold_05_coverage_count,fold_06_coverage_count,fold_07_coverage_count,fold_08_coverage_count,fold_09_coverage_count,minimum_coverage_count_across_folds,maximum_coverage_count_across_folds,total_coverage_count_across_folds
0,ST115CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
1,ST121CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
2,ST31TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,3,3,3,3,3,3,3,3,3,3,3,3,30
3,ST39SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
4,ST102CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
5,ST39TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
6,ST32TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,3,3,3,3,3,3,3,3,3,3,3,3,30
7,ST74SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
8,ST127SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
9,ST31CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
10,ST58CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
11,ST94SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
12,ST110TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
13,ST117SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
14,ST45TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
15,ST52CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,3,3,3,3,3,3,3,3,3,3,3,3,30
16,ST62CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
17,ST45CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
18,ST50SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,3,3,3,3,3,3,3,3,3,3,3,3,30
19,ST45SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
20,ST73CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
21,ST97CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
22,ST47TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,3,3,3,3,3,3,3,3,3,3,3,3,30
23,ST113TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,3,3,3,3,3,3,3,3,3,3,3,3,30
24,ST82CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
25,ST40TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
26,ST111CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
27,ST90TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
28,ST90CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
29,ST117TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
30,ST26SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
31,ST48CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,3,3,3,3,3,3,3,3,3,3,3,3,30
32,ST59SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
33,ST118SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,3,3,3,3,3,3,3,3,3,3,3,3,30
34,ST48SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
35,ST93CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,3,3,3,3,3,3,3,3,3,3,3,3,30
36,ST13TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
